"case_id","jsonl_line","suite_id","prompt","execution_status","request_ms","completed_main_model_turns","raw_model_timeouts","tool_calls","tool_successes","tool_error_codes","current_source_count","citation_count","raw_tool_elapsed_ms","reported_tool_elapsed_ms","automatic_observation_flags","review_scope","finding_ids","review_note"
"historical-default-001","1","historical-default","Hostname là gì?","PASS","29271","3","0","2","1","exposed_for_retry","1","0","1135","0","sourced_without_inline_citation","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-002","2","historical-default","Kernel version hiện tại?","PASS","33943","3","0","2","1","exposed_for_retry","1","1","319","0","","targeted_observation","POSITIVE","Có hành vi tích cực được ghi nhận; không phải accepted verdict cho toàn bộ câu trả lời."
"historical-default-003","3","historical-default","Uptime của server bao lâu rồi?","PASS","40231","3","0","2","1","exposed_for_retry","1","1","302","0","","confirmed_issue","F09","Lỗi phép đổi đơn vị/tỷ lệ/nhãn số liệu; xem chi tiết REPORT.md."
"historical-default-004","4","historical-default","Máy đã chạy được bao lâu?","PASS","9723","1","0","0","0","","0","1","0","0","no_tool_this_turn;citation_not_from_current_turn","targeted_observation","F06","Dùng ngữ cảnh lịch sử; cần phân biệt câu hỏi hồi cứu, độ mới, snapshot và khả năng kết luận sức khỏe/xu hướng."
"historical-default-005","5","historical-default","Có process zombie nào không?","PASS","80122","3","0","2","1","exposed_for_retry","1","1","302","0","","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-006","6","historical-default","Trạng thái service nginx?","PASS","42275","3","0","2","1","exposed_for_retry","1","1","291","0","","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-007","7","historical-default","Trạng thái service sshd?","PASS","58906","3","0","2","1","exposed_for_retry","1","0","303","0","sourced_without_inline_citation","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-008","8","historical-default","Kiểm tra service docker","PASS","29574","3","0","2","1","exposed_for_retry","1","0","298","0","sourced_without_inline_citation","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-009","9","historical-default","Kiểm tra service postgresql","PASS","55468","3","0","2","1","exposed_for_retry","1","0","302","0","sourced_without_inline_citation","confirmed_issue","F05","Suy sai trạng thái cài đặt hoặc đọc dòng cấu hình comment thành có hiệu lực."
"historical-default-010","10","historical-default","Trạng thái service mysql","PASS","56456","3","0","2","1","exposed_for_retry","1","0","312","0","sourced_without_inline_citation","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-011","11","historical-default","Swap đang dùng bao nhiêu?","PASS","78315","3","0","2","1","exposed_for_retry","1","0","444","0","sourced_without_inline_citation","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
"historical-default-012","12","historical-default","Bộ nhớ ảo hiện tại thế nào?","PASS","50061","1","0","0","0","","0","0","0","0","no_tool_this_turn","not_semantically_adjudicated","","Đã kiểm tra metadata/flags; chưa gán verdict chất lượng nội dung."
